AJ;1;01. Atualizacao                             ;aj0101  ;A.  Atualizacao de Informacoes Gerais       ;GERAL                                                                                                                                                                                              ;ADM;1
CC;1;01. Atualizacao dos Cadastros Gerais        ;cd0107  ;G.  Contas Contabeis                        ;GERAL                                                                                                                                                                                              ;ADM,CT0;290
CC;1;01. Atualizacao dos Cadastros Gerais        ;cd0201  ;H.  Grupo Estoque                           ;GERAL                                                                                                                                                                                              ;ADM,CE0,CT0;291
CC;1;01. Atualizacao dos Cadastros Gerais        ;cd0203  ;I.  Unidades Medida                         ;GERAL                                                                                                                                                                                              ;ADM,CE0;292
CC;1;01. Atualizacao dos Cadastros Gerais        ;cd0202  ;J.  Familias Material                       ;ESTOQUE,LOJA,aldo,levione,CUSTO,telma,magda,INFORMAT                                                                                                                                               ;ADM,CG0;293
CC;1;01. Atualizacao dos Cadastros Gerais        ;cd0204  ;K.  Itens                                   ;ESTOQUE,INFORMAT,aldo,levione,CUSTO,telma,magda,LOJA,renata,carlosrs,pedroa,inalda,janete,tereza,jackson,lilian                                                                                    ;ADM,CG1;294
CC;1;01. Atualizacao dos Cadastros Gerais        ;cd0405  ;L.  Mensagens                               ;GERAL                                                                                                                                                                                              ;ADM,CT0;295
CC;1;01. Atualizacao dos Cadastros Gerais        ;cd0601  ;M.  Depositos                               ;ESTOQUE,INFORMAT                                                                                                                                                                                   ;ADM,CE0;296
CC;2;02. Listagem dos Cadastros Gerais           ;cd0301  ;A.  Parametros Globais                      ;GERAL                                                                                                                                                                                              ;ADM;297
CC;2;02. Listagem dos Cadastros Gerais           ;cd0303  ;B.  Cotacoes Moedas                         ;GERAL                                                                                                                                                                                              ;ADM,CB1;298
CC;2;02. Listagem dos Cadastros Gerais           ;cd0304  ;C.  Empresas                                ;GERAL                                                                                                                                                                                              ;ADM,CT1;299
CC;2;02. Listagem dos Cadastros Gerais           ;cd0305  ;D.  Contas                                  ;GERAL                                                                                                                                                                                              ;ADM,CT1;300
CC;2;02. Listagem dos Cadastros Gerais           ;cd0306  ;E.  Sub-contas                              ;GERAL                                                                                                                                                                                              ;ADM,CT1;301
CC;2;02. Listagem dos Cadastros Gerais           ;cd0307  ;F.  Contas Contabeis                        ;GERAL                                                                                                                                                                                              ;ADM,CT1;302
CC;2;02. Listagem dos Cadastros Gerais           ;cd0501  ;G.  Grupos de Estoque                       ;GERAL                                                                                                                                                                                              ;ADM,CE1;303
CC;2;02. Listagem dos Cadastros Gerais           ;cd0515  ;H.  Unidades de Medida                      ;GERAL                                                                                                                                                                                              ;ADM,CE1;304
CC;2;02. Listagem dos Cadastros Gerais           ;cd0502  ;I.  Familias                                ;GERAL                                                                                                                                                                                              ;ADM,PD1,SU1;305
CC;2;02. Listagem dos Cadastros Gerais           ;cd0503  ;J.  Catalogo de Itens                       ;GERAL                                                                                                                                                                                              ;ADM,PD1,SU1;306
CC;2;02. Listagem dos Cadastros Gerais           ;cd0510  ;K.  Mensagens                               ;GERAL                                                                                                                                                                                              ;ADM,CT1,CR1;307
CC;2;02. Listagem dos Cadastros Gerais           ;cd0514  ;L.  Depositos                               ;GERAL                                                                                                                                                                                              ;ADM,CE1;308
CC;3;03. Atualizacao dos Cadastros de Compras I  ;cd0407  ;A.  Grupo Fornecedores                      ;GERAL                                                                                                                                                                                              ;ADM,CT0,CE0;309
CC;3;03. Atualizacao dos Cadastros de Compras I  ;cd0401  ;B.  Fornecedores                            ;COMPRA,maranhao,antoniog,INFORMAT                                                                                                                                                                  ;ADM,CG2;310
CC;3;03. Atualizacao dos Cadastros de Compras I  ;cd0404  ;C.  Condicoes Pagamento                     ;COMPRA,LOJA,levione,antoniog,INFORMAT                                                                                                                                                              ;ADM,PD0,SU0;311
CC;3;03. Atualizacao dos Cadastros de Compras I  ;cd0402  ;D.  Transportadores                         ;GERAL                                                                                                                                                                                              ;ADM,PD0,SU0;312
CC;3;03. Atualizacao dos Cadastros de Compras I  ;cd0602  ;E.  Estabelecimentos                        ;GERAL                                                                                                                                                                                              ;ADM,CT0;313
CC;3;03. Atualizacao dos Cadastros de Compras I  ;cd0406  ;F.  Codigos  Devolucao                      ;GERAL                                                                                                                                                                                              ;ADM,SU0;314
CC;3;03. Atualizacao dos Cadastros de Compras I  ;cc0101  ;G.  Compradores                             ;GERAL                                                                                                                                                                                              ;ADM,SU0;315
CC;3;03. Atualizacao dos Cadastros de Compras I  ;cc0108  ;H.  Aprovadores do Comprador                ;GERAL                                                                                                                                                                                              ;ADM,SU0;316
CC;3;03. Atualizacao dos Cadastros de Compras I  ;cc0102  ;I.  Familias para Compras                   ;GERAL                                                                                                                                                                                              ;ADM,SU0;317
CC;3;03. Atualizacao dos Cadastros de Compras I  ;cc0103  ;J.  Itens para Compras                      ;GERAL                                                                                                                                                                                              ;ADM,SU0;318
CC;3;03. Atualizacao dos Cadastros de Compras I  ;cc0104  ;K.  Parametros Compras                      ;GERAL                                                                                                                                                                                              ;ADM,SU0;319
CC;3;03. Atualizacao dos Cadastros de Compras I  ;cd0902  ;L.  Fatores de Conversao                    ;GERAL                                                                                                                                                                                              ;ADM;320
CC;3;03. Atualizacao dos Cadastros de Compras I  ;cc0105  ;M.  Itens por Fornecedor                    ;GERAL                                                                                                                                                                                              ;ADM,SU0;321
CC;4;04. Atualizacao dos Cadastros de Compras II ;cd1404  ;A.  Requisitantes                           ;GERAL                                                                                                                                                                                              ;ADM,SU0;322
CC;4;04. Atualizacao dos Cadastros de Compras II ;cd1405  ;B.  Aprovadores do Requisitante             ;GERAL                                                                                                                                                                                              ;ADM;323
CC;4;04. Atualizacao dos Cadastros de Compras II ;cc0330  ;C.  Contrato de Fornecimento                ;GERAL                                                                                                                                                                                              ;ADM,SU0;324
CC;4;04. Atualizacao dos Cadastros de Compras II ;cd0518  ;D.  Atualizacao de Frequencia               ;GERAL                                                                                                                                                                                              ;ADM;325
CC;4;04. Atualizacao dos Cadastros de Compras II ;cc0312  ;E.  Tabelas de Precos                       ;GERAL                                                                                                                                                                                              ;ADM,SU0;326
CC;4;04. Atualizacao dos Cadastros de Compras II ;cc0313  ;F.  Itens das Tabelas de Precos             ;GERAL                                                                                                                                                                                              ;ADM,SU0;327
CC;4;04. Atualizacao dos Cadastros de Compras II ;cc0109  ;G.  Eventos                                 ;GERAL                                                                                                                                                                                              ;ADM,SU0;328
CC;4;04. Atualizacao dos Cadastros de Compras II ;cd1419  ;H.  Senha dos Requisitantes                 ;GERAL                                                                                                                                                                                              ;ADM,CE1;329
CC;5;05. Listagem dos Cadastros de Compras I     ;cd0508  ;A.  Grupo de Fornecedores                   ;GERAL                                                                                                                                                                                              ;ADM,SU1,PD1,CE1;330
CC;5;05. Listagem dos Cadastros de Compras I     ;cd0504  ;B.  Fornecedores                            ;GERAL                                                                                                                                                                                              ;ADM,PD1,SU1;331
CC;5;05. Listagem dos Cadastros de Compras I     ;cd0507  ;C.  Condicoes de Pagamento                  ;GERAL                                                                                                                                                                                              ;ADM,SU1,PD1,CE1;332
CC;5;05. Listagem dos Cadastros de Compras I     ;cd0505  ;D.  Transportadores                         ;GERAL                                                                                                                                                                                              ;ADM,PD1,SU1;333
CC;5;05. Listagem dos Cadastros de Compras I     ;cd0506  ;E.  Estabelecimentos                        ;GERAL                                                                                                                                                                                              ;ADM,CT1;334
CC;5;05. Listagem dos Cadastros de Compras I     ;cd0509  ;F.  Codigos de Devolucao                    ;GERAL                                                                                                                                                                                              ;ADM,SU1,PD1,CE1;335
CC;5;05. Listagem dos Cadastros de Compras I     ;cc0201  ;G.  Compradores                             ;GERAL                                                                                                                                                                                              ;ADM,SU0,SU1;336
CC;5;05. Listagem dos Cadastros de Compras I     ;cc0202  ;H.  Familias                                ;GERAL                                                                                                                                                                                              ;ADM,SU0,SU1;337
CC;5;05. Listagem dos Cadastros de Compras I     ;cc0203  ;I.  Catalogo de Compras                     ;GERAL                                                                                                                                                                                              ;ADM,SU0,SU1;338
CC;5;05. Listagem dos Cadastros de Compras I     ;cc0204  ;J.  Parametros de Compras                   ;GERAL                                                                                                                                                                                              ;ADM,SU0,SU1;339
CC;5;05. Listagem dos Cadastros de Compras I     ;cc0205  ;K.  Quem-vende-o-que                        ;GERAL                                                                                                                                                                                              ;ADM,SU0,SU1;340
CC;5;05. Listagem dos Cadastros de Compras I     ;cc0206  ;L.  Onde-se-compra                          ;GERAL                                                                                                                                                                                              ;ADM,SU0,SU1;341
CC;5;05. Listagem dos Cadastros de Compras I     ;cc0207  ;M.  Itens por Fornecedor                    ;GERAL                                                                                                                                                                                              ;ADM,SU0,SU1;342
CC;6;06. Listagem dos Cadastros de Compras II    ;cd1418  ;A.  Requisitantes                           ;GERAL                                                                                                                                                                                              ;ADM,CE1;343
CC;6;06. Listagem dos Cadastros de Compras II    ;cd0605  ;B.  Frequencia de Fornecimento              ;GERAL                                                                                                                                                                                              ;ADM,SU1,CE1;344
CC;6;06. Listagem dos Cadastros de Compras II    ;cc0410  ;C.  Tabelas de Precos                       ;GERAL                                                                                                                                                                                              ;ADM,SU0,SU1;345
CC;6;06. Listagem dos Cadastros de Compras II    ;cc0110  ;D.  Eventos                                 ;GERAL                                                                                                                                                                                              ;ADM,SU0;346
CC;7;07. Movimentacao Diaria I                   ;cc0301  ;A.  Ordens                                  ;GERAL                                                                                                                                                                                              ;ADM,SU0;347
CC;7;07. Movimentacao Diaria I                   ;cc0303  ;B.  Cotacoes                                ;GERAL                                                                                                                                                                                              ;ADM,SU0;348
CC;7;07. Movimentacao Diaria I                   ;cc0319  ;C.  Cotacoes para Multiplas Ordens          ;GERAL                                                                                                                                                                                              ;ADM,SU0;349
CC;7;07. Movimentacao Diaria I                   ;cc0304  ;D.  Pedidos                                 ;GERAL                                                                                                                                                                                              ;ADM,SU0;350
CC;7;07. Movimentacao Diaria I                   ;cc0310  ;E.  Pedidos sem Cotacao                     ;GERAL                                                                                                                                                                                              ;ADM,SU0;351
CC;7;07. Movimentacao Diaria I                   ;cc0311  ;F.  Geracao Automatica de Pedidos           ;GERAL                                                                                                                                                                                              ;ADM,SU0;352
CC;7;07. Movimentacao Diaria I                   ;cc0331  ;G.  Geracao da Programacao de Entrega       ;GERAL                                                                                                                                                                                              ;ADM,SU0;353
CC;7;07. Movimentacao Diaria I                   ;cc0308  ;H.  Alteracao de Pedidos / Ordens           ;GERAL                                                                                                                                                                                              ;ADM,SU0;354
CC;7;07. Movimentacao Diaria I                   ;cc0306  ;I.  Recebimento de Materiais                ;GERAL                                                                                                                                                                                              ;ADM,SU0;355
CC;7;07. Movimentacao Diaria I                   ;cc0307  ;J.  Devolucao de Materiais                  ;GERAL                                                                                                                                                                                              ;ADM,SU0;356
CC;7;07. Movimentacao Diaria I                   ;cc0309  ;K.  Eliminacao de Pedidos / Ordens          ;GERAL                                                                                                                                                                                              ;ADM,SU0;357
CC;7;07. Movimentacao Diaria I                   ;cc0111  ;L.  Realizacao de Eventos                   ;GERAL                                                                                                                                                                                              ;ADM,SU0;358
CC;7;07. Movimentacao Diaria I                   ;cc0326  ;M.  Aprovacao das Compras Pendentes         ;GERAL                                                                                                                                                                                              ;ADM,SU0;359
CC;8;08. Movimentacao Diaria II                  ;cc0316  ;A.  Processos                               ;GERAL                                                                                                                                                                                              ;ADM,SU0;360
CC;8;08. Movimentacao Diaria II                  ;cc0318  ;B.  Fornecedores do Processo                ;GERAL                                                                                                                                                                                              ;ADM,SU0;361
CC;8;08. Movimentacao Diaria II                  ;cc0321  ;C.  Geracao de Processos                    ;GERAL                                                                                                                                                                                              ;ADM,SU0;362
CC;8;08. Movimentacao Diaria II                  ;cc0322  ;D.  Cotacoes do Processo                    ;GERAL                                                                                                                                                                                              ;ADM,SU0;363
CC;8;08. Movimentacao Diaria II                  ;cc0320  ;E.  Aprovacao de Cotacoes por Processo      ;GERAL                                                                                                                                                                                              ;ADM,SU0;364
CC;8;08. Movimentacao Diaria II                  ;cd1406  ;F.  Solicitacao / Requisicao de Materiais   ;GERAL                                                                                                                                                                                              ;ADM;365
CC;8;08. Movimentacao Diaria II                  ;cc0325  ;G.  Geracao de Ordens de Compra             ;GERAL                                                                                                                                                                                              ;ADM,SU0;366
CC;9;09. Emissao de Documentos                   ;cc0302  ;A.  Emissao da Ficha para Cotacao           ;GERAL                                                                                                                                                                                              ;ADM,SU0;367
CC;9;09. Emissao de Documentos                   ;cc0305  ;B.  Emissao de Pedidos                      ;GERAL                                                                                                                                                                                              ;ADM,SU0;368
CC;9;09. Emissao de Documentos                   ;cc0411  ;C.  Emissao de Alteracoes de Pedidos        ;GERAL                                                                                                                                                                                              ;ADM,SU0,SU1;369
CC;9;09. Emissao de Documentos                   ;cc0412  ;D.  Emissao de Cancelamento de Pedidos      ;GERAL                                                                                                                                                                                              ;ADM,SU0,SU1;370
CC;9;09. Emissao de Documentos                   ;cc0332  ;E.  Emissao do Contrato de Fornecimento     ;GERAL                                                                                                                                                                                              ;ADM,SU0;371
CC;9;09. Emissao de Documentos                   ;cc0333  ;F.  Impressao da Programacao de Entregas    ;GERAL                                                                                                                                                                                              ;ADM,SU0;372
CC;9;09. Emissao de Documentos                   ;cc0314  ;G.  Impressao de Etiquetas para Fornecedor  ;GERAL                                                                                                                                                                                              ;ADM,SU0;373
CC;9;09. Emissao de Documentos                   ;cc0323  ;H.  Emissao de Fichas de Cotacao por Process;GERAL                                                                                                                                                                                              ;ADM,SU0;374
CC;10;10. Emissao de Relatorios I                 ;cc0401  ;A.  Ordens Nao Confirmadas                  ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,SU0,SU1;375
CC;10;10. Emissao de Relatorios I                 ;cc0402  ;B.  Ordens Confirmadas                      ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,SU0,SU1;376
CC;10;10. Emissao de Relatorios I                 ;cc0415  ;C.  Ordens de Compras Emitidas              ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,SU0,SU1;377
CC;10;10. Emissao de Relatorios I                 ;cc0404  ;D.  Entrada de Materiais                    ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,SU0,SU1;378
CC;10;10. Emissao de Relatorios I                 ;cc0405  ;E.  Devolucao de Materiais                  ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,SU0,SU1;379
CC;10;10. Emissao de Relatorios I                 ;cc0406  ;F.  Pedidos Emitidos                        ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,SU0,SU1;380
CC;10;10. Emissao de Relatorios I                 ;cc0407  ;G.  Entregas Previstas                      ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,SU0,SU1;381
CC;10;10. Emissao de Relatorios I                 ;cc0408  ;H.  Curva ABC de Compras                    ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,SU0,SU1;382
CC;10;10. Emissao de Relatorios I                 ;cc0409  ;I.  Saldos por Parcelas                     ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,SU0,SU1;383
CC;10;10. Emissao de Relatorios I                 ;cc0413  ;J.  Mapa Comparativo de Precos              ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,SU0,SU1;384
CC;10;10. Emissao de Relatorios I                 ;cc0414  ;K.  Pontualidade de Fornecedores            ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,SU0,SU1;385
CC;10;10. Emissao de Relatorios I                 ;cc0417  ;L.  Evolucao de Precos                      ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,SU0,SU1;386
CC;10;10. Emissao de Relatorios I                 ;cc0418  ;M.  Indice de Devolucao de Fornecedores     ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,SU0,SU1;387
CC;11;11. Emissao de Relatorios II                ;cc0419  ;A.  Pedidos do Processo                     ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,SU0,SU1;388
CC;11;11. Emissao de Relatorios II                ;cc0416  ;B.  Ordens do Processo                      ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,SU0,SU1;389
CC;12;12. Consultas de Compras I                  ;CC0501  ;A.  Compradores                             ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,SU0,SU1;390
CC;12;12. Consultas de Compras I                  ;CC0502  ;B.  Familias                                ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,SU0,SU1;391
CC;12;12. Consultas de Compras I                  ;CC0507  ;C.  Transportadores                         ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,SU0,SU1;392
CC;12;12. Consultas de Compras I                  ;cc0508  ;D.  Estabelecimentos                        ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,SU0,SU1;393
CC;12;12. Consultas de Compras I                  ;CC0503  ;E.  Fornecedores                            ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,SU0,SU1;394
CC;12;12. Consultas de Compras I                  ;CC0518  ;F.  Fornecedores do Item                    ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,SU0,SU1;395
CC;12;12. Consultas de Compras I                  ;cc0504  ;G.  Itens                                   ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,SU0,SU1;396
CC;12;12. Consultas de Compras I                  ;cc0509  ;H.  Pedidos                                 ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,SU0,SU1;397
CC;12;12. Consultas de Compras I                  ;cc0505  ;I.  Ordens                                  ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,SU0,SU1;398
CC;12;12. Consultas de Compras I                  ;cc0511  ;J.  Parcelas                                ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,SU0,SU1;399
CC;12;12. Consultas de Compras I                  ;cc0506  ;K.  Cotacoes                                ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,SU0,SU1;400
CC;12;12. Consultas de Compras I                  ;cc0520  ;L.  Ordens de um Requisitante               ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,SU0,SU1;401
CC;12;12. Consultas de Compras I                  ;cc0524  ;M.  Processo                                ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,SU0,SU1;402
CC;13;13. Consultas de Compras II                 ;cc0512  ;A.  Ordens de uma Data                      ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,SU0,SU1;403
CC;13;13. Consultas de Compras II                 ;cc0519  ;B.  Consultas as Ordens Multiplas           ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,SU0,SU1;404
CC;13;13. Consultas de Compras II                 ;cc0513  ;C.  Saldos por Parcelas                     ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,SU0,SU1;405
CC;13;13. Consultas de Compras II                 ;cc0526  ;D.  Contratos                               ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,SU0,SU1;406
CC;13;13. Consultas de Compras II                 ;cc0510  ;E.  Movimentos                              ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,SU0,SU1;407
CC;13;13. Consultas de Compras II                 ;cc0514  ;F.  Tabelas de Preco                        ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,SU0,SU1;408
CC;13;13. Consultas de Compras II                 ;cc0112  ;G.  Consulta de Eventos                     ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,SU0,SU1;409
CC;13;13. Consultas de Compras II                 ;cc0526  ;H.  Contratos                               ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,SU0,SU1;410
CC;13;13. Consultas de Compras II                 ;cc0527  ;I.  Pedidos do Contrato                     ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,SU0,SU1;411
CC;13;13. Consultas de Compras II                 ;cc0504b ;J.  Consulta das Cotacoes do Item           ;GERAL,CONSULTA                                                                                                                                                                                     ;ADM,SU0,SU1;412
CD;1;01. Atualizacao de Cadastros                ;cd0101  ;A.  Parametros Globais                      ;GERAL                                                                                                                                                                                              ;ADM;413
CD;1;01. Atualizacao de Cadastros                ;cd0102  ;B.  Termos de Abertura/Encerramento         ;GERAL                                                                                                                                                                                              ;ADM,CT0;414
CD;1;01. Atualizacao de Cadastros                ;cd0103  ;C.  Cotacoes de Moedas                      ;GERAL                                                                                                                                                                                              ;ADM,CB0;415
CD;1;01. Atualizacao de Cadastros                ;cd0104  ;D.  Empresas                                ;GERAL                                                                                                                                                                                              ;ADM,CT0;416
CD;1;01. Atualizacao de Cadastros                ;cd0403  ;E.  Estabelecimentos                        ;GERAL                                                                                                                                                                                              ;ADM,CT0;417
CD;1;01. Atualizacao de Cadastros                ;cd0405  ;F.  Mensagens                               ;GERAL                                                                                                                                                                                              ;ADM,CT0;418
CD;1;01. Atualizacao de Cadastros                ;cd0911  ;G.  Calendario                              ;GERAL                                                                                                                                                                                              ;ADM;419
CD;1;01. Atualizacao de Cadastros                ;cd0404  ;H.  Condicoes de Pagamento                  ;COMPRA,LOJA,levione,antoniog,INFORMAT                                                                                                                                                              ;ADM,PD0,SU0;420
CD;1;01. Atualizacao de Cadastros                ;cd0210  ;I.  Calendario Generico                     ;GERAL                                                                                                                                                                                              ;ADM;421
CD;1;01. Atualizacao de Cadastros                ;cd0209  ;J.  Importacao de Itens                     ;GERAL                                                                                                                                                                                              ;ADM;422
CD;2;02. Atualizacao de Cadastros(Administrativo);cd0105  ;A.  Contas                                  ;GERAL                                                                                                                                                                                              ;ADM,CT0;423
CD;2;02. Atualizacao de Cadastros(Administrativo);cd0106  ;B.  Sub-contas                              ;GERAL                                                                                                                                                                                              ;ADM,CT0;424
CD;2;02. Atualizacao de Cadastros(Administrativo);cd0107  ;C.  Contas Contabeis (Plano de Contas)      ;GERAL                                                                                                                                                                                              ;ADM,CT0;425
CD;2;02. Atualizacao de Cadastros(Administrativo);cd0108  ;D.  Contas Contabeis de Sistema             ;GERAL                                                                                                                                                                                              ;ADM,CT0;426
CD;2;02. Atualizacao de Cadastros(Administrativo);cd0402  ;E.  Transportadores                         ;GERAL                                                                                                                                                                                              ;ADM,PD0,SU0;427
CD;2;02. Atualizacao de Cadastros(Administrativo);cd0901  ;F.  Portadores                              ;GERAL                                                                                                                                                                                              ;ADM,CB0;428
CD;2;02. Atualizacao de Cadastros(Administrativo);cd0407  ;G.  Grupos de Fornecedores                  ;GERAL                                                                                                                                                                                              ;ADM,CT0,CE0;429
CD;2;02. Atualizacao de Cadastros(Administrativo);cd0401  ;H.  Fornecedores                            ;COMPRA,maranhao,antoniog,INFORMAT                                                                                                                                                                  ;ADM,CG2;430
CD;2;02. Atualizacao de Cadastros(Administrativo);cd0707  ;I.  Regioes                                 ;GERAL                                                                                                                                                                                              ;ADM;431
CD;2;02. Atualizacao de Cadastros(Administrativo);cd0708  ;J.  Representantes                          ;GERAL                                                                                                                                                                                              ;ADM,PD0;432
CD;2;02. Atualizacao de Cadastros(Administrativo);cd0711  ;K.  Informantes                             ;GERAL                                                                                                                                                                                              ;ADM,PD0;433
